record_id,timestamp,dht_temperature,gridEye_array,current_people_count,net_crossing_count,current_objects_count
1,2025-05-27T19:37:27.517842,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,0
2,2025-05-27T19:37:27.636349,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,0
3,2025-05-27T19:37:27.761103,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,0
4,2025-05-27T19:37:27.883754,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,0
5,2025-05-27T19:37:28.012539,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1,0,0
6,2025-05-27T19:37:28.137619,28.400000000000002,"[26.5, 27.0, 26.5, 27.25, 27.0, 26.75, 26.75, 27.25, 27.0, 27.25, 27.0, 27.25, 27.0, 27.25, 27.0, 26.5, 27.0, 27.0, 27.0, 27.0, 27.5, 26.5, 26.25, 27.0, 26.75, 26.5, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.25, 27.25, 27.75, 27.5, 27.5, 27.0, 27.25, 27.5, 26.25, 26.75, 27.0, 27.0, 26.75, 27.25, 27.0, 27.0, 26.5, 27.0, 26.75, 26.5, 27.25, 27.5, 27.5, 27.0, 26.5, 26.5, 26.75, 26.75, 27.0, 27.0, 27.25, 27.25]",1,0,0
7,2025-05-27T19:37:28.267867,28.400000000000002,"[26.5, 27.0, 26.5, 27.25, 27.0, 26.75, 26.75, 27.25, 27.0, 27.25, 27.0, 27.25, 27.0, 27.25, 27.0, 26.5, 27.0, 27.0, 27.0, 27.0, 27.5, 26.5, 26.25, 27.0, 26.75, 26.5, 27.0, 27.0, 27.0, 27.0, 27.0, 27.0, 27.25, 27.25, 27.75, 27.5, 27.5, 27.0, 27.25, 27.5, 26.25, 26.75, 27.0, 27.0, 26.75, 27.25, 27.0, 27.0, 26.5, 27.0, 26.75, 26.5, 27.25, 27.5, 27.5, 27.0, 26.5, 26.5, 26.75, 26.75, 27.0, 27.0, 27.25, 27.25]",1,0,0
8,2025-05-27T19:37:28.409825,28.400000000000002,"[26.75, 27.0, 26.25, 27.0, 26.75, 27.0, 26.75, 27.0, 27.0, 26.0, 26.75, 26.75, 27.0, 26.75, 26.5, 27.0, 27.0, 26.75, 27.0, 26.75, 27.0, 26.75, 27.0, 26.25, 27.0, 26.75, 26.75, 27.0, 26.75, 26.75, 27.0, 26.75, 26.75, 27.0, 27.5, 27.25, 27.25, 27.25, 27.0, 27.0, 26.0, 26.75, 27.5, 27.25, 27.0, 27.25, 27.0, 26.75, 26.25, 26.0, 26.5, 27.25, 27.25, 27.25, 27.0, 27.25, 26.5, 26.75, 26.0, 26.75, 26.75, 27.0, 27.0, 27.25]",0,0,0
9,2025-05-27T19:37:28.539358,28.400000000000002,"[26.75, 27.0, 26.25, 27.0, 26.75, 27.0, 26.75, 27.0, 27.0, 26.0, 26.75, 26.75, 27.0, 26.75, 26.5, 27.0, 27.0, 26.75, 27.0, 26.75, 27.0, 26.75, 27.0, 26.25, 27.0, 26.75, 26.75, 27.0, 26.75, 26.75, 27.0, 26.75, 26.75, 27.0, 27.5, 27.25, 27.25, 27.25, 27.0, 27.0, 26.0, 26.75, 27.5, 27.25, 27.0, 27.25, 27.0, 26.75, 26.25, 26.0, 26.5, 27.25, 27.25, 27.25, 27.0, 27.25, 26.5, 26.75, 26.0, 26.75, 26.75, 27.0, 27.0, 27.25]",0,0,0
10,2025-05-27T19:37:28.664392,28.400000000000002,"[26.5, 26.5, 27.0, 27.0, 27.5, 26.5, 26.75, 27.25, 27.0, 26.75, 26.75, 26.75, 27.0, 27.0, 26.75, 27.0, 26.5, 27.0, 27.0, 27.25, 27.0, 26.75, 26.25, 27.0, 26.75, 27.0, 26.5, 26.5, 26.75, 26.75, 26.5, 26.25, 26.75, 27.0, 27.5, 27.0, 27.0, 27.0, 26.75, 27.0, 26.5, 26.25, 27.0, 26.75, 26.75, 27.25, 27.0, 26.5, 26.75, 26.75, 27.0, 26.75, 27.25, 27.25, 27.25, 27.0, 26.0, 26.75, 26.5, 26.75, 27.0, 27.25, 26.75, 27.5]",0,0,0
11,2025-05-27T19:37:28.790116,28.400000000000002,"[26.5, 26.5, 27.0, 27.0, 27.5, 26.5, 26.75, 27.25, 27.0, 26.75, 26.75, 26.75, 27.0, 27.0, 26.75, 27.0, 26.5, 27.0, 27.0, 27.25, 27.0, 26.75, 26.25, 27.0, 26.75, 27.0, 26.5, 26.5, 26.75, 26.75, 26.5, 26.25, 26.75, 27.0, 27.5, 27.0, 27.0, 27.0, 26.75, 27.0, 26.5, 26.25, 27.0, 26.75, 26.75, 27.25, 27.0, 26.5, 26.75, 26.75, 27.0, 26.75, 27.25, 27.25, 27.25, 27.0, 26.0, 26.75, 26.5, 26.75, 27.0, 27.25, 26.75, 27.5]",0,0,0
12,2025-05-27T19:37:28.921116,28.400000000000002,"[26.5, 26.5, 27.0, 27.0, 27.5, 26.5, 26.75, 27.25, 27.0, 26.75, 26.75, 26.75, 27.0, 27.0, 26.75, 27.0, 26.5, 27.0, 27.0, 27.25, 27.0, 26.75, 26.25, 27.0, 26.75, 27.0, 26.5, 26.5, 26.75, 26.75, 26.5, 26.25, 26.75, 27.0, 27.5, 27.0, 27.0, 27.0, 26.75, 27.0, 26.5, 26.25, 27.0, 26.75, 26.75, 27.25, 27.0, 26.5, 26.75, 26.75, 27.0, 26.75, 27.25, 27.25, 27.25, 27.0, 26.0, 26.75, 26.5, 26.75, 27.0, 27.25, 26.75, 27.5]",0,0,0
13,2025-05-27T19:37:29.043112,28.400000000000002,"[26.0, 26.25, 26.75, 26.75, 27.25, 27.0, 26.5, 27.0, 27.0, 26.25, 26.5, 27.0, 27.0, 27.0, 26.75, 26.5, 26.75, 26.75, 26.75, 27.25, 27.25, 27.25, 26.5, 27.0, 27.25, 26.5, 26.5, 26.5, 26.75, 26.75, 26.5, 27.0, 26.5, 27.0, 28.0, 27.0, 27.0, 26.75, 27.0, 27.5, 26.5, 26.25, 27.25, 27.0, 26.5, 27.0, 27.0, 26.75, 26.75, 26.25, 26.5, 26.75, 27.25, 27.25, 27.5, 27.25, 27.25, 26.25, 26.5, 26.25, 26.25, 27.0, 27.25, 27.25]",0,0,0
14,2025-05-27T19:37:29.166340,28.400000000000002,"[26.0, 26.25, 26.75, 26.75, 27.25, 27.0, 26.5, 27.0, 27.0, 26.25, 26.5, 27.0, 27.0, 27.0, 26.75, 26.5, 26.75, 26.75, 26.75, 27.25, 27.25, 27.25, 26.5, 27.0, 27.25, 26.5, 26.5, 26.5, 26.75, 26.75, 26.5, 27.0, 26.5, 27.0, 28.0, 27.0, 27.0, 26.75, 27.0, 27.5, 26.5, 26.25, 27.25, 27.0, 26.5, 27.0, 27.0, 26.75, 26.75, 26.25, 26.5, 26.75, 27.25, 27.25, 27.5, 27.25, 27.25, 26.25, 26.5, 26.25, 26.25, 27.0, 27.25, 27.25]",0,0,0
15,2025-05-27T19:37:29.289121,28.400000000000002,"[26.75, 26.5, 26.5, 26.75, 27.5, 27.0, 26.0, 27.0, 27.25, 26.25, 26.75, 26.75, 26.75, 27.0, 27.0, 26.75, 27.0, 26.75, 27.0, 26.75, 27.25, 26.75, 26.75, 26.75, 27.0, 26.5, 26.5, 26.5, 26.5, 26.5, 26.75, 27.25, 27.5, 27.5, 27.5, 26.75, 27.0, 26.75, 27.0, 27.25, 26.75, 26.5, 27.0, 27.0, 26.75, 27.25, 27.25, 26.75, 26.75, 26.5, 27.0, 27.0, 27.0, 27.25, 27.25, 27.25, 26.25, 26.25, 26.5, 26.5, 26.75, 27.0, 27.25, 27.0]",0,0,0
