timestamp,gridEye,dht_temperature
2025-05-27T19:00:06.293906,"[27.5, 27.5, 27.25, 28.5, 28, 28.25, 27.5, 28.25, 27.25, 27, 27.5, 27.75, 27.75, 27.5, 27.5, 27.5, 27.25, 27.25, 27.25, 27.5, 27.75, 27.25, 27.5, 27.25, 27.75, 27.25, 27.25, 27.25, 27.25, 27.75, 27.25, 27.25, 27, 27.75, 27.5, 27, 27.75, 27.75, 27.25, 27.5, 26.5, 27, 27, 27, 27.25, 27.5, 27.25, 27.25, 26.5, 27, 26.5, 26.75, 26.75, 27, 26.75, 27, 26.5, 26.5, 26, 26.75, 26.25, 26.5, 26.5, 26.25]",0.1
2025-05-27T19:00:06.524508,"[27.75, 27.5, 27.75, 27.75, 27.75, 28, 27.25, 28, 27.75, 27, 27.25, 27.25, 27.25, 27.25, 27.5, 27.5, 27.5, 27, 27.25, 27.75, 27.5, 27.75, 27, 27.5, 27, 27.25, 27.25, 27, 27.75, 27.5, 27, 27.25, 27, 27, 27.5, 27.25, 27.25, 27.5, 26.75, 27, 26, 27, 27, 27.25, 27, 27, 26.75, 27.25, 26.5, 26.75, 26.5, 26.5, 27.25, 27.25, 26.75, 27.25, 26.5, 26.25, 26.25, 26, 26.25, 26.75, 26.5, 26]",0.1
2025-05-27T19:00:06.808145,"[27.25, 27.25, 27, 27.5, 27.75, 27.5, 27, 27, 27.25, 27.25, 27.25, 27, 27, 27.25, 27.25, 26.75, 27, 27, 27.25, 27.5, 27.5, 27.25, 26.75, 27, 27, 26.75, 26.75, 26.75, 27, 27.25, 27, 26.5, 26.5, 26.75, 27, 27, 27, 26.5, 26.5, 26.75, 25.75, 26.75, 26.75, 26.75, 26.5, 27.25, 26.5, 26.25, 26, 26.5, 26.5, 26.75, 27, 27, 26.25, 26.5, 26, 25.75, 25.75, 26.5, 26.5, 26, 26.25, 26.5]",0.1
2025-05-27T19:00:07.109561,"[27, 27.25, 27, 27.5, 27.5, 27.75, 26.75, 27.25, 27.25, 27, 27, 27.25, 27.25, 27, 27, 26.75, 26.25, 27.25, 27, 27.25, 27.25, 27, 26.75, 26.75, 26.75, 26.5, 26.75, 27, 26.75, 27, 26.5, 26.5, 27, 27.5, 27.25, 27.25, 27, 27, 26.75, 27.5, 26, 27, 26.5, 27, 26.75, 27, 27, 26.5, 26.25, 26.25, 26.25, 27, 27, 26.5, 26.75, 26.25, 26.25, 25.75, 25.75, 26, 26.5, 26.75, 26.5, 26.75]",0.1
2025-05-27T19:00:07.388683,"[26.75, 26.75, 26.75, 27.5, 27.75, 27, 27, 27.25, 26.75, 26.5, 26.75, 26.75, 27.25, 26.5, 27, 26.75, 26.75, 26.75, 26.75, 27.25, 27.25, 27, 26.5, 26.5, 27, 26.5, 26.5, 27, 27, 26.75, 26.5, 26.75, 27.25, 26.75, 27.25, 27, 27, 26.75, 26.75, 27, 26.25, 25.75, 26.5, 26.5, 26.75, 27, 26.75, 27, 25.75, 26.75, 26.25, 26.75, 26.75, 26.25, 26.25, 26.5, 26, 25.75, 26.25, 26.5, 26.25, 26.25, 26, 26.5]",0.1
2025-05-27T19:00:07.673697,"[26.5, 26.25, 26.5, 27.25, 27.25, 27.25, 26.5, 26.75, 26.75, 26.75, 27, 26.75, 27.25, 26.75, 27, 26.75, 26.75, 26.75, 27, 27.25, 27, 27, 26.75, 26.75, 27, 26.75, 26.75, 26.75, 26.75, 26.75, 26.75, 26.5, 26.75, 26.5, 26.75, 26.75, 27.25, 26.75, 26.5, 26.75, 26, 27, 26.75, 26.75, 26.75, 27.25, 26.75, 26.25, 26.25, 26, 26.25, 26.5, 26.25, 26.5, 26.75, 26.5, 25.75, 26, 25.75, 26.25, 26.5, 26, 26, 26.75]",0.1
2025-05-27T19:00:07.951717,"[26.25, 26.75, 26.5, 27.25, 26.75, 27, 27, 27.75, 27.25, 26.75, 27.25, 26.75, 27, 26.75, 27, 26.75, 26.75, 26.75, 26.75, 26.75, 26.75, 26.75, 26.75, 26.75, 26.5, 26.25, 26.25, 27, 26.75, 27, 26.5, 26.5, 26.5, 26.5, 27, 26.75, 27, 27, 26.75, 26.75, 26, 26.75, 27, 26.5, 26.5, 27, 26.75, 26, 26.25, 26.75, 26, 26, 27, 26.75, 26.75, 27, 25.75, 25.75, 25.5, 25.75, 26.25, 26.5, 26.75, 25.5]",0.1
2025-05-27T19:00:08.278107,"[26.25, 27, 26.75, 27.25, 27, 27, 26.5, 26.75, 27, 26.25, 26.75, 27, 27, 26.75, 27, 26.5, 26.5, 26.5, 26.75, 27.25, 27.25, 26.75, 26.5, 26.5, 27, 26.25, 26.25, 26.25, 27.25, 27.25, 26.25, 26.75, 26.25, 26.5, 27.25, 27, 27, 26.5, 26.75, 26.75, 25.75, 26.25, 26.5, 27, 26.5, 27, 26.5, 26.25, 26, 26.25, 26.25, 26.5, 27, 26.75, 26.75, 26.25, 25.5, 26, 25.75, 26.25, 26, 26, 26.5, 26.75]",0.1
2025-05-27T19:00:08.598991,"[26.5, 26.75, 26.5, 27, 27.25, 27, 26.75, 27, 26.25, 26.5, 26.75, 26.5, 27, 26.5, 26.5, 26.5, 26.75, 26.25, 26.75, 27, 26.75, 26.75, 26.5, 26.75, 26.75, 26.5, 26.5, 26.75, 27, 26.75, 26.25, 26.25, 26.75, 26.5, 27, 26.5, 27, 26.25, 26.5, 26, 25.75, 26.25, 26.5, 26.5, 26.5, 26.75, 26.25, 26.25, 25.75, 26, 26.25, 26.25, 26.75, 26.5, 26.5, 26.75, 25.5, 25.5, 26.25, 26.5, 26, 26.25, 26.25, 26.75]",0.1
2025-05-27T19:00:08.837591,"[26.25, 27, 26.5, 27, 26.75, 26.75, 26.25, 26.75, 26.5, 26.75, 26.75, 26.5, 26.75, 26.25, 26.5, 26.25, 26.75, 26.5, 26.75, 27.25, 27.25, 26.5, 26.25, 26.25, 26.25, 26.5, 26.5, 26.5, 26.75, 26.75, 26.5, 26, 26, 26.75, 26.75, 26.75, 26.5, 26.5, 26.25, 26.75, 25.75, 26, 26.75, 27, 26.25, 26.5, 26.5, 26.5, 26.25, 25.75, 26.5, 26.75, 26.5, 26.75, 26.5, 26.5, 25.75, 26.25, 25.5, 25.75, 25.75, 26, 26.25, 25.5]",0.1
2025-05-27T19:00:09.116243,"[26, 26.75, 26.5, 27.25, 27.25, 27, 26.25, 26.5, 26.75, 26.5, 26.75, 27, 26.75, 26.75, 27, 26.25, 26.75, 26.5, 26.75, 27, 26.75, 26.75, 26.5, 26.5, 26.5, 26.5, 26.5, 26.5, 26.75, 26.75, 26.75, 26.5, 26.75, 27, 27.25, 26.75, 26.75, 26.75, 26.75, 26.75, 26.25, 26.25, 26.75, 27, 26.5, 27, 26.25, 26.25, 26.25, 25.75, 25.75, 26.75, 27.25, 26.5, 26.75, 26.5, 26, 26, 25.75, 26.25, 26, 26.25, 26.75, 26.25]",0.1
2025-05-27T19:00:09.416198,"[26.25, 26.25, 26.5, 27, 27, 26.5, 26, 26.5, 26.5, 26.25, 27, 26.5, 26.5, 26.5, 26.75, 26.5, 26.75, 26.5, 27, 26.75, 27, 26.75, 26.5, 26, 26.75, 26.25, 26, 26.25, 26.75, 26.5, 26.25, 26, 26.25, 26.5, 26.5, 26.5, 26.5, 26.75, 26.25, 26.25, 26.25, 26.5, 26.25, 26.75, 26.25, 27, 26.25, 26.25, 26, 25.5, 26, 26.5, 26.75, 26.5, 26.5, 26.5, 25.75, 25.75, 25.5, 25.5, 25.75, 26, 26.25, 25.75]",0.1
